Feature,Importancia,Porcentaje,Porcentaje_Acumulado,Modelo
AT_xGA_Avg,0.027677146717905998,2.767714738845825,85.58980560302734,Over/Under 2.5
Rest_Diff,0.026854855939745903,2.685485601425171,88.2752914428711,Over/Under 2.5
AT_xG_Residual5,0.02662918157875538,2.6629180908203125,90.9382095336914,Over/Under 2.5
AT_ShotsTarget5,0.0246816985309124,2.468169927597046,93.40637969970703,Over/Under 2.5
HT_AvgGoals,0.023254070430994034,2.325407028198242,95.7317886352539,Over/Under 2.5
HT_TotalGoals5,0.022275717929005623,2.227571725845337,97.95935821533203,Over/Under 2.5
AT_AvgGoals,0.020406346768140793,2.0406346321105957,99.99999237060547,Over/Under 2.5
HT_RedRate5,0.07133318483829498,7.13331937789917,7.13331937789917,Tarjetas 3.5
HT_Days_Rest,0.06857758015394211,6.857758522033691,13.991077423095703,Tarjetas 3.5
H2H_Yellow_Avg,0.06044051796197891,6.044052600860596,20.03512954711914,Tarjetas 3.5
Ref_Cards_Total_Avg,0.059590939432382584,5.959094524383545,25.994224548339844,Tarjetas 3.5
HT_Form_L,0.05935601145029068,5.935601711273193,31.929826736450195,Tarjetas 3.5
HT_Form_W,0.05862204730510712,5.862205505371094,37.792030334472656,Tarjetas 3.5
Ref_Yellow_Avg,0.05514570698142052,5.514571666717529,43.306602478027344,Tarjetas 3.5
AT_Form_D,0.05510291829705238,5.5102925300598145,48.81689453125,Tarjetas 3.5
HT_YellowAvg5,0.05410206690430641,5.410207271575928,54.22710037231445,Tarjetas 3.5
AT_YellowAvg5,0.05356268212199211,5.356268882751465,59.583370208740234,Tarjetas 3.5
AT_Days_Rest,0.05334893614053726,5.334894180297852,64.91826629638672,Tarjetas 3.5
HT_YellowFor5,0.05319071561098099,5.319072246551514,70.23733520507812,Tarjetas 3.5
Rest_Diff,0.05016065016388893,5.01606559753418,75.25340270996094,Tarjetas 3.5
AT_YellowFor5,0.050063606351614,5.006361484527588,80.259765625,Tarjetas 3.5
HT_Form_D,0.04957820475101471,4.957821369171143,85.21759033203125,Tarjetas 3.5
AT_RedRate5,0.04940148442983627,4.940149307250977,90.1577377319336,Tarjetas 3.5
Ref_Aggressiveness_Interaction,0.045792486518621445,4.579248905181885,94.73698425292969,Tarjetas 3.5
AT_Form_L,0.029578708112239838,2.957871198654175,97.69485473632812,Tarjetas 3.5
AT_Form_W,0.02305152639746666,2.3051528930664062,100.00000762939453,Tarjetas 3.5
HT_Elo,0.044610701501369476,4.461070537567139,4.461070537567139,Corners 9.5
HT_AvgShotsTarget,0.038081713020801544,3.8081717491149902,8.269242286682129,Corners 9.5
AT_Position,0.037553850561380386,3.755385398864746,12.024627685546875,Corners 9.5
HT_Shots5,0.034137461334466934,3.4137465953826904,15.438374519348145,Corners 9.5
HT_CornersTotal5,0.03352347016334534,3.3523473739624023,18.790721893310547,Corners 9.5
AT_AvgShotsTarget,0.0324355848133564,3.243558883666992,22.03428077697754,Corners 9.5
HT_CornersFor5,0.03215625509619713,3.215625762939453,25.249906539916992,Corners 9.5
AT_Form_W,0.03186871111392975,3.1868715286254883,28.436779022216797,Corners 9.5
AT_CornersAgainst5,0.031657859683036804,3.1657862663269043,31.60256576538086,Corners 9.5
HT_Position,0.03132079169154167,3.132079601287842,34.73464584350586,Corners 9.5
AT_Form_L,0.030952656641602516,3.0952658653259277,37.82991027832031,Corners 9.5
AT_CornersTotal5,0.030521448701620102,3.052145004272461,40.882057189941406,Corners 9.5
AT_Corner_Dominance5,0.03028886578977108,3.0288867950439453,43.91094207763672,Corners 9.5
Position_Diff,0.03002965822815895,3.0029659271240234,46.913909912109375,Corners 9.5
AT_Elo,0.02996925637125969,2.9969258308410645,49.91083526611328,Corners 9.5
AT_Pressure,0.02942327968776226,2.9423282146453857,52.85316467285156,Corners 9.5
HT_Pressure,0.028794826939702034,2.8794829845428467,55.73264694213867,Corners 9.5
HT_Fouls5,0.028626924380660057,2.8626925945281982,58.595340728759766,Corners 9.5
H2H_Corners_Avg,0.028031930327415466,2.8031933307647705,61.39853286743164,Corners 9.5
HT_Form_L,0.02737603336572647,2.7376034259796143,64.13613891601562,Corners 9.5
AT_Fouls5,0.027179209515452385,2.717921257019043,66.85405731201172,Corners 9.5
Elo_Diff,0.026973072439432144,2.6973073482513428,69.55136108398438,Corners 9.5
xG_Total,0.02647552080452442,2.647552251815796,72.19891357421875,Corners 9.5
HT_ShotsTarget5,0.026320800185203552,2.632080316543579,74.83099365234375,Corners 9.5
AT_Shots5,0.02544698864221573,2.54469895362854,77.37569427490234,Corners 9.5
AT_AvgGoals,0.024833079427480698,2.4833080768585205,79.85900115966797,Corners 9.5
HT_Corner_Dominance5,0.024564629420638084,2.456463098526001,82.31546783447266,Corners 9.5
HT_CornersAgainst5,0.024246005341410637,2.424600601196289,84.74006652832031,Corners 9.5
