fecha,local,visitante,resultado_predicho,prob_modelo,cuota_apertura,cuota_cierre,prob_apertura_fair,prob_cierre_fair,clv,edge_vs_apertura,edge_vs_cierre,resultado_real,acierto,stake,cuota_apostada,pnl,pnl_acumulado,timestamp
2025-02-15 00:00:00,Leicester,Arsenal,Visitante,0.7422,1.33,1.33,0.703,0.7177,0.0147,0.0392,0.0245,2,True,10.0,1.33,3.3,34752.2,2026-03-14T00:34:45.301209
2025-02-15 00:00:00,Southampton,Bournemouth,Visitante,0.7427,1.5,1.48,0.6316,0.6387,0.0071,0.1111,0.104,2,True,10.0,1.5,5.0,34757.2,2026-03-14T00:34:45.303418
2025-02-15 00:00:00,Crystal Palace,Everton,Local,0.3882,1.8,1.95,0.5293,0.4849,-0.0444,-0.141,-0.0966,2,False,10.0,1.8,-10.0,34747.2,2026-03-14T00:34:45.306043
2025-02-15 00:00:00,Aston Villa,Ipswich,Local,0.6363,1.4,1.42,0.669,0.6659,-0.0031,-0.0327,-0.0296,1,False,10.0,1.4,-10.0,34737.2,2026-03-14T00:34:45.307804
2025-02-15 00:00:00,Fulham,Nott'm Forest,Local,0.3599,2.2,2.1,0.4322,0.4509,0.0187,-0.0723,-0.091,0,True,10.0,2.2,12.0,34749.2,2026-03-14T00:34:45.309485
2025-02-15 00:00:00,West Ham,Brentford,Local,0.4039,2.35,2.35,0.4051,0.4051,0.0,-0.0011,-0.0011,2,False,10.0,2.35,-10.0,34739.2,2026-03-14T00:34:45.311155
2025-02-16 00:00:00,Tottenham,Man United,Empate,0.383,3.75,3.8,0.2524,0.2504,-0.002,0.1306,0.1326,0,False,10.0,3.75,-10.0,34729.2,2026-03-14T00:34:45.315318
2025-02-16 00:00:00,Liverpool,Wolves,Local,0.8204,1.15,1.22,0.8067,0.7781,-0.0286,0.0137,0.0423,0,True,10.0,1.15,1.5,34730.7,2026-03-14T00:34:45.317774
2025-02-19 00:00:00,Aston Villa,Liverpool,Visitante,0.4987,1.83,1.85,0.519,0.5113,-0.0077,-0.0204,-0.0126,1,False,10.0,1.83,-10.0,34720.7,2026-03-14T00:34:45.319737
2025-02-21 00:00:00,Leicester,Brentford,Visitante,0.5415,1.91,1.95,0.4918,0.483,-0.0088,0.0496,0.0584,2,True,10.0,1.91,9.1,34729.8,2026-03-14T00:34:45.321553
2025-02-22 00:00:00,Arsenal,West Ham,Local,0.6186,1.27,1.27,0.747,0.7483,0.0013,-0.1284,-0.1298,2,False,10.0,1.27,-10.0,34719.8,2026-03-14T00:34:45.323329
2025-02-22 00:00:00,Aston Villa,Chelsea,Local,0.4023,2.63,2.6,0.3591,0.3602,0.0011,0.0433,0.0422,0,True,10.0,2.63,16.3,34736.1,2026-03-14T00:34:45.325240
2025-02-22 00:00:00,Bournemouth,Wolves,Local,0.5553,1.53,1.62,0.618,0.5817,-0.0363,-0.0626,-0.0264,2,False,10.0,1.53,-10.0,34726.1,2026-03-14T00:34:45.327005
2025-02-22 00:00:00,Everton,Man United,Local,0.4173,2.5,2.63,0.3783,0.3584,-0.0199,0.039,0.0589,1,False,10.0,2.5,-10.0,34716.1,2026-03-14T00:34:45.329652
2025-02-22 00:00:00,Fulham,Crystal Palace,Local,0.4233,2.05,2.1,0.4636,0.4543,-0.0093,-0.0404,-0.0311,2,False,10.0,2.05,-10.0,34706.1,2026-03-14T00:34:45.332125
2025-02-22 00:00:00,Ipswich,Tottenham,Visitante,0.5565,1.9,2.05,0.5022,0.4613,-0.0409,0.0543,0.0952,2,True,10.0,1.9,9.0,34715.1,2026-03-14T00:34:45.334385
2025-02-22 00:00:00,Southampton,Brighton,Visitante,0.6066,1.55,1.53,0.6111,0.608,-0.0031,-0.0046,-0.0014,2,True,10.0,1.55,5.5,34720.6,2026-03-14T00:34:45.338209
2025-02-23 00:00:00,Man City,Liverpool,Visitante,0.3961,2.25,2.2,0.4213,0.4325,0.0111,-0.0253,-0.0364,2,True,10.0,2.25,12.5,34733.1,2026-03-14T00:34:45.341730
2025-02-23 00:00:00,Newcastle,Nott'm Forest,Local,0.4859,1.8,1.9,0.5257,0.4983,-0.0274,-0.0398,-0.0124,0,True,10.0,1.8,8.0,34741.1,2026-03-14T00:34:45.343915
2025-02-25 00:00:00,Wolves,Fulham,Local,0.3887,2.63,2.35,0.3575,0.3964,0.0389,0.0312,-0.0077,2,False,10.0,2.63,-10.0,34731.1,2026-03-14T00:34:45.347643
2025-02-25 00:00:00,Crystal Palace,Aston Villa,Empate,0.4353,3.4,3.5,0.2776,0.2688,-0.0088,0.1576,0.1664,0,False,10.0,3.4,-10.0,34721.1,2026-03-14T00:34:45.350841
2025-02-25 00:00:00,Brighton,Bournemouth,Local,0.4867,2.0,1.95,0.469,0.4867,0.0177,0.0178,0.0001,0,True,10.0,2.0,10.0,34731.1,2026-03-14T00:34:45.352671
2025-02-25 00:00:00,Chelsea,Southampton,Local,0.7694,1.17,1.17,0.8089,0.8168,0.0079,-0.0395,-0.0474,0,True,10.0,1.17,1.7,34732.8,2026-03-14T00:34:45.354476
2025-02-26 00:00:00,Brentford,Everton,Local,0.3966,2.0,1.95,0.4735,0.4765,0.003,-0.0769,-0.0799,1,False,10.0,2.0,-10.0,34722.8,2026-03-14T00:34:45.356268
2025-02-26 00:00:00,Liverpool,Newcastle,Local,0.6171,1.5,1.36,0.6273,0.6943,0.067,-0.0102,-0.0772,0,True,10.0,1.5,5.0,34727.8,2026-03-14T00:34:45.358162
2025-02-26 00:00:00,Man United,Ipswich,Local,0.5501,1.53,1.48,0.6218,0.6387,0.0169,-0.0716,-0.0886,0,True,10.0,1.53,5.3,34733.1,2026-03-14T00:34:45.359975
2025-02-26 00:00:00,Nott'm Forest,Arsenal,Visitante,0.401,1.95,1.91,0.4898,0.4959,0.0061,-0.0888,-0.0949,1,False,10.0,1.95,-10.0,34723.1,2026-03-14T00:34:45.362444
2025-02-26 00:00:00,Tottenham,Man City,Visitante,0.4309,2.0,1.8,0.4727,0.5257,0.053,-0.0418,-0.0948,2,True,10.0,2.0,10.0,34733.1,2026-03-14T00:34:45.366603
2025-02-27 00:00:00,West Ham,Leicester,Local,0.5887,1.62,1.75,0.5849,0.5371,-0.0478,0.0038,0.0516,0,True,10.0,1.62,6.2,34739.3,2026-03-14T00:34:45.368714
2025-03-08 00:00:00,Brentford,Aston Villa,Local,0.4439,2.2,2.15,0.4278,0.4426,0.0148,0.0161,0.0013,2,False,10.0,2.2,-10.0,34729.3,2026-03-14T00:34:45.370473
2025-03-08 00:00:00,Brighton,Fulham,Empate,0.4155,3.6,3.6,0.2627,0.2627,0.0,0.1528,0.1528,0,False,10.0,3.6,-10.0,34719.3,2026-03-14T00:34:45.372116
2025-03-08 00:00:00,Crystal Palace,Ipswich,Local,0.6333,1.45,1.53,0.6505,0.6181,-0.0324,-0.0172,0.0152,0,True,10.0,1.45,4.5,34723.8,2026-03-14T00:34:45.373716
2025-03-08 00:00:00,Liverpool,Southampton,Local,0.8804,1.1,1.1,0.8474,0.8603,0.0129,0.033,0.0201,0,True,10.0,1.1,1.0,34724.8,2026-03-14T00:34:45.375481
2025-03-08 00:00:00,Nott'm Forest,Man City,Visitante,0.4925,1.85,1.91,0.5113,0.4987,-0.0126,-0.0188,-0.0062,0,False,10.0,1.85,-10.0,34714.8,2026-03-14T00:34:45.377311
2025-03-08 00:00:00,Wolves,Everton,Visitante,0.34,2.88,2.8,0.3293,0.3409,0.0116,0.0107,-0.0009,1,False,10.0,2.88,-10.0,34704.8,2026-03-14T00:34:45.380436
2025-03-09 00:00:00,Man United,Arsenal,Visitante,0.6056,1.7,1.75,0.5614,0.5446,-0.0167,0.0442,0.061,1,False,10.0,1.7,-10.0,34694.8,2026-03-14T00:34:45.383856
2025-03-09 00:00:00,Tottenham,Bournemouth,Empate,0.4054,3.9,3.75,0.2437,0.2541,0.0105,0.1617,0.1513,1,True,10.0,3.9,29.0,34723.8,2026-03-14T00:34:45.385948
2025-03-09 00:00:00,Chelsea,Leicester,Local,0.7173,1.18,1.22,0.8027,0.7714,-0.0312,-0.0854,-0.0541,0,True,10.0,1.18,1.8,34725.6,2026-03-14T00:34:45.387868
